"","m1","m2","sd1","sd2"
"1",-1,-1,0.5,5
"2",0,-1,0.5,5
"3",1,-1,0.5,5
"4",2,-1,0.5,5
"5",3,-1,0.5,5
"6",4,-1,0.5,5
"7",5,-1,0.5,5
"8",6,-1,0.5,5
"9",7,-1,0.5,5
"10",8,-1,0.5,5
"11",9,-1,0.5,5
"12",10,-1,0.5,5
"13",11,-1,0.5,5
"14",12,-1,0.5,5
"15",13,-1,0.5,5
"16",14,-1,0.5,5
"17",15,-1,0.5,5
"18",16,-1,0.5,5
"19",17,-1,0.5,5
"20",18,-1,0.5,5
"21",19,-1,0.5,5
"22",20,-1,0.5,5
"23",21,-1,0.5,5
"24",22,-1,0.5,5
"25",23,-1,0.5,5
"26",24,-1,0.5,5
"27",25,-1,0.5,5
"28",26,-1,0.5,5
"29",27,-1,0.5,5
"30",28,-1,0.5,5
"31",29,-1,0.5,5
"32",30,-1,0.5,5
"33",-1,0,0.5,5
"34",0,0,0.5,5
"35",1,0,0.5,5
"36",2,0,0.5,5
"37",3,0,0.5,5
"38",4,0,0.5,5
"39",5,0,0.5,5
"40",6,0,0.5,5
"41",7,0,0.5,5
"42",8,0,0.5,5
"43",9,0,0.5,5
"44",10,0,0.5,5
"45",11,0,0.5,5
"46",12,0,0.5,5
"47",13,0,0.5,5
"48",14,0,0.5,5
"49",15,0,0.5,5
"50",16,0,0.5,5
"51",17,0,0.5,5
"52",18,0,0.5,5
"53",19,0,0.5,5
"54",20,0,0.5,5
"55",21,0,0.5,5
"56",22,0,0.5,5
"57",23,0,0.5,5
"58",24,0,0.5,5
"59",25,0,0.5,5
"60",26,0,0.5,5
"61",27,0,0.5,5
"62",28,0,0.5,5
"63",29,0,0.5,5
"64",30,0,0.5,5
"65",-1,1,0.5,5
"66",0,1,0.5,5
"67",1,1,0.5,5
"68",2,1,0.5,5
"69",3,1,0.5,5
"70",4,1,0.5,5
"71",5,1,0.5,5
"72",6,1,0.5,5
"73",7,1,0.5,5
"74",8,1,0.5,5
"75",9,1,0.5,5
"76",10,1,0.5,5
"77",11,1,0.5,5
"78",12,1,0.5,5
"79",13,1,0.5,5
"80",14,1,0.5,5
"81",15,1,0.5,5
"82",16,1,0.5,5
"83",17,1,0.5,5
"84",18,1,0.5,5
"85",19,1,0.5,5
"86",20,1,0.5,5
"87",21,1,0.5,5
"88",22,1,0.5,5
"89",23,1,0.5,5
"90",24,1,0.5,5
"91",25,1,0.5,5
"92",26,1,0.5,5
"93",27,1,0.5,5
"94",28,1,0.5,5
"95",29,1,0.5,5
"96",30,1,0.5,5
"97",-1,2,0.5,5
"98",0,2,0.5,5
"99",1,2,0.5,5
"100",2,2,0.5,5
"101",3,2,0.5,5
"102",4,2,0.5,5
"103",5,2,0.5,5
"104",6,2,0.5,5
"105",7,2,0.5,5
"106",8,2,0.5,5
"107",9,2,0.5,5
"108",10,2,0.5,5
"109",11,2,0.5,5
"110",12,2,0.5,5
"111",13,2,0.5,5
"112",14,2,0.5,5
"113",15,2,0.5,5
"114",16,2,0.5,5
"115",17,2,0.5,5
"116",18,2,0.5,5
"117",19,2,0.5,5
"118",20,2,0.5,5
"119",21,2,0.5,5
"120",22,2,0.5,5
"121",23,2,0.5,5
"122",24,2,0.5,5
"123",25,2,0.5,5
"124",26,2,0.5,5
"125",27,2,0.5,5
"126",28,2,0.5,5
"127",29,2,0.5,5
"128",30,2,0.5,5
"129",-1,3,0.5,5
"130",0,3,0.5,5
"131",1,3,0.5,5
"132",2,3,0.5,5
"133",3,3,0.5,5
"134",4,3,0.5,5
"135",5,3,0.5,5
"136",6,3,0.5,5
"137",7,3,0.5,5
"138",8,3,0.5,5
"139",9,3,0.5,5
"140",10,3,0.5,5
"141",11,3,0.5,5
"142",12,3,0.5,5
"143",13,3,0.5,5
"144",14,3,0.5,5
"145",15,3,0.5,5
"146",16,3,0.5,5
"147",17,3,0.5,5
"148",18,3,0.5,5
"149",19,3,0.5,5
"150",20,3,0.5,5
"151",21,3,0.5,5
"152",22,3,0.5,5
"153",23,3,0.5,5
"154",24,3,0.5,5
"155",25,3,0.5,5
"156",26,3,0.5,5
"157",27,3,0.5,5
"158",28,3,0.5,5
"159",29,3,0.5,5
"160",30,3,0.5,5
"161",-1,4,0.5,5
"162",0,4,0.5,5
"163",1,4,0.5,5
"164",2,4,0.5,5
"165",3,4,0.5,5
"166",4,4,0.5,5
"167",5,4,0.5,5
"168",6,4,0.5,5
"169",7,4,0.5,5
"170",8,4,0.5,5
"171",9,4,0.5,5
"172",10,4,0.5,5
"173",11,4,0.5,5
"174",12,4,0.5,5
"175",13,4,0.5,5
"176",14,4,0.5,5
"177",15,4,0.5,5
"178",16,4,0.5,5
"179",17,4,0.5,5
"180",18,4,0.5,5
"181",19,4,0.5,5
"182",20,4,0.5,5
"183",21,4,0.5,5
"184",22,4,0.5,5
"185",23,4,0.5,5
"186",24,4,0.5,5
"187",25,4,0.5,5
"188",26,4,0.5,5
"189",27,4,0.5,5
"190",28,4,0.5,5
"191",29,4,0.5,5
"192",30,4,0.5,5
"193",-1,5,0.5,5
"194",0,5,0.5,5
"195",1,5,0.5,5
"196",2,5,0.5,5
"197",3,5,0.5,5
"198",4,5,0.5,5
"199",5,5,0.5,5
"200",6,5,0.5,5
"201",7,5,0.5,5
"202",8,5,0.5,5
"203",9,5,0.5,5
"204",10,5,0.5,5
"205",11,5,0.5,5
"206",12,5,0.5,5
"207",13,5,0.5,5
"208",14,5,0.5,5
"209",15,5,0.5,5
