"","m1","m2","sd1","sd2"
"1",-1,-1,1,2
"2",0,-1,1,2
"3",1,-1,1,2
"4",2,-1,1,2
"5",3,-1,1,2
"6",4,-1,1,2
"7",5,-1,1,2
"8",6,-1,1,2
"9",7,-1,1,2
"10",8,-1,1,2
"11",9,-1,1,2
"12",10,-1,1,2
"13",11,-1,1,2
"14",12,-1,1,2
"15",13,-1,1,2
"16",14,-1,1,2
"17",15,-1,1,2
"18",16,-1,1,2
"19",17,-1,1,2
"20",18,-1,1,2
"21",19,-1,1,2
"22",20,-1,1,2
"23",21,-1,1,2
"24",22,-1,1,2
"25",23,-1,1,2
"26",24,-1,1,2
"27",25,-1,1,2
"28",26,-1,1,2
"29",27,-1,1,2
"30",28,-1,1,2
"31",29,-1,1,2
"32",30,-1,1,2
"33",-1,0,1,2
"34",0,0,1,2
"35",1,0,1,2
"36",2,0,1,2
"37",3,0,1,2
"38",4,0,1,2
"39",5,0,1,2
"40",6,0,1,2
"41",7,0,1,2
"42",8,0,1,2
"43",9,0,1,2
"44",10,0,1,2
"45",11,0,1,2
"46",12,0,1,2
"47",13,0,1,2
"48",14,0,1,2
"49",15,0,1,2
"50",16,0,1,2
"51",17,0,1,2
"52",18,0,1,2
"53",19,0,1,2
"54",20,0,1,2
"55",21,0,1,2
"56",22,0,1,2
"57",23,0,1,2
"58",24,0,1,2
"59",25,0,1,2
"60",26,0,1,2
"61",27,0,1,2
"62",28,0,1,2
"63",29,0,1,2
"64",30,0,1,2
"65",-1,1,1,2
"66",0,1,1,2
"67",1,1,1,2
"68",2,1,1,2
"69",3,1,1,2
"70",4,1,1,2
"71",5,1,1,2
"72",6,1,1,2
"73",7,1,1,2
"74",8,1,1,2
"75",9,1,1,2
"76",10,1,1,2
"77",11,1,1,2
"78",12,1,1,2
"79",13,1,1,2
"80",14,1,1,2
"81",15,1,1,2
"82",16,1,1,2
"83",17,1,1,2
"84",18,1,1,2
"85",19,1,1,2
"86",20,1,1,2
"87",21,1,1,2
"88",22,1,1,2
"89",23,1,1,2
"90",24,1,1,2
"91",25,1,1,2
"92",26,1,1,2
"93",27,1,1,2
"94",28,1,1,2
"95",29,1,1,2
"96",30,1,1,2
"97",-1,2,1,2
"98",0,2,1,2
"99",1,2,1,2
"100",2,2,1,2
"101",3,2,1,2
"102",4,2,1,2
"103",5,2,1,2
"104",6,2,1,2
"105",7,2,1,2
"106",8,2,1,2
"107",9,2,1,2
"108",10,2,1,2
"109",11,2,1,2
"110",12,2,1,2
"111",13,2,1,2
"112",14,2,1,2
"113",15,2,1,2
"114",16,2,1,2
"115",17,2,1,2
"116",18,2,1,2
"117",19,2,1,2
"118",20,2,1,2
"119",21,2,1,2
"120",22,2,1,2
"121",23,2,1,2
"122",24,2,1,2
"123",25,2,1,2
"124",26,2,1,2
"125",27,2,1,2
"126",28,2,1,2
"127",29,2,1,2
"128",30,2,1,2
"129",-1,3,1,2
"130",0,3,1,2
"131",1,3,1,2
"132",2,3,1,2
"133",3,3,1,2
"134",4,3,1,2
"135",5,3,1,2
"136",6,3,1,2
"137",7,3,1,2
"138",8,3,1,2
"139",9,3,1,2
"140",10,3,1,2
"141",11,3,1,2
"142",12,3,1,2
"143",13,3,1,2
"144",14,3,1,2
"145",15,3,1,2
"146",16,3,1,2
"147",17,3,1,2
"148",18,3,1,2
"149",19,3,1,2
"150",20,3,1,2
"151",21,3,1,2
"152",22,3,1,2
"153",23,3,1,2
"154",24,3,1,2
"155",25,3,1,2
"156",26,3,1,2
"157",27,3,1,2
"158",28,3,1,2
"159",29,3,1,2
"160",30,3,1,2
"161",-1,4,1,2
"162",0,4,1,2
"163",1,4,1,2
"164",2,4,1,2
"165",3,4,1,2
"166",4,4,1,2
"167",5,4,1,2
"168",6,4,1,2
"169",7,4,1,2
"170",8,4,1,2
"171",9,4,1,2
"172",10,4,1,2
"173",11,4,1,2
"174",12,4,1,2
"175",13,4,1,2
"176",14,4,1,2
"177",15,4,1,2
"178",16,4,1,2
"179",17,4,1,2
"180",18,4,1,2
"181",19,4,1,2
"182",20,4,1,2
"183",21,4,1,2
"184",22,4,1,2
"185",23,4,1,2
"186",24,4,1,2
"187",25,4,1,2
"188",26,4,1,2
"189",27,4,1,2
"190",28,4,1,2
"191",29,4,1,2
"192",30,4,1,2
"193",-1,5,1,2
"194",0,5,1,2
"195",1,5,1,2
"196",2,5,1,2
"197",3,5,1,2
"198",4,5,1,2
"199",5,5,1,2
"200",6,5,1,2
"201",7,5,1,2
"202",8,5,1,2
"203",9,5,1,2
"204",10,5,1,2
"205",11,5,1,2
"206",12,5,1,2
"207",13,5,1,2
"208",14,5,1,2
"209",15,5,1,2
"210",16,5,1,2
"211",17,5,1,2
"212",18,5,1,2
"213",19,5,1,2
"214",20,5,1,2
"215",21,5,1,2
"216",22,5,1,2
"217",23,5,1,2
"218",24,5,1,2
"219",25,5,1,2
"220",26,5,1,2
"221",27,5,1,2
"222",28,5,1,2
"223",29,5,1,2
"224",30,5,1,2
"225",-1,6,1,2
"226",0,6,1,2
"227",1,6,1,2
"228",2,6,1,2
"229",3,6,1,2
"230",4,6,1,2
"231",5,6,1,2
"232",6,6,1,2
"233",7,6,1,2
"234",8,6,1,2
"235",9,6,1,2
"236",10,6,1,2
"237",11,6,1,2
"238",12,6,1,2
"239",13,6,1,2
"240",14,6,1,2
"241",15,6,1,2
"242",16,6,1,2
"243",17,6,1,2
"244",18,6,1,2
"245",19,6,1,2
"246",20,6,1,2
"247",21,6,1,2
"248",22,6,1,2
"249",23,6,1,2
"250",24,6,1,2
"251",25,6,1,2
"252",26,6,1,2
"253",27,6,1,2
"254",28,6,1,2
"255",29,6,1,2
"256",30,6,1,2
"257",-1,7,1,2
"258",0,7,1,2
"259",1,7,1,2
"260",2,7,1,2
"261",3,7,1,2
"262",4,7,1,2
"263",5,7,1,2
"264",6,7,1,2
"265",7,7,1,2
"266",8,7,1,2
"267",9,7,1,2
"268",10,7,1,2
"269",11,7,1,2
"270",12,7,1,2
"271",13,7,1,2
"272",14,7,1,2
"273",15,7,1,2
"274",16,7,1,2
"275",17,7,1,2
"276",18,7,1,2
"277",19,7,1,2
"278",20,7,1,2
"279",21,7,1,2
"280",22,7,1,2
"281",23,7,1,2
"282",24,7,1,2
