"","m1","m2","sd1","sd2"
"1",-1,1,-3,-3
"2",-1,3,-3,-3
"3",1,3,-3,-3
"4",-1,6,-3,-3
"5",1,6,-3,-3
"6",3,6,-3,-3
"7",-1,1,-2.8,-3
"8",-1,3,-2.8,-3
"9",1,3,-2.8,-3
"10",-1,6,-2.8,-3
"11",1,6,-2.8,-3
"12",3,6,-2.8,-3
"13",-1,1,-2.6,-3
"14",-1,3,-2.6,-3
"15",1,3,-2.6,-3
"16",-1,6,-2.6,-3
"17",1,6,-2.6,-3
"18",3,6,-2.6,-3
"19",-1,1,-2.4,-3
"20",-1,3,-2.4,-3
"21",1,3,-2.4,-3
"22",-1,6,-2.4,-3
"23",1,6,-2.4,-3
"24",3,6,-2.4,-3
"25",-1,1,-2.2,-3
"26",-1,3,-2.2,-3
"27",1,3,-2.2,-3
"28",-1,6,-2.2,-3
"29",1,6,-2.2,-3
"30",3,6,-2.2,-3
"31",-1,1,-2,-3
"32",-1,3,-2,-3
"33",1,3,-2,-3
"34",-1,6,-2,-3
"35",1,6,-2,-3
"36",3,6,-2,-3
"37",-1,1,-1.8,-3
"38",-1,3,-1.8,-3
"39",1,3,-1.8,-3
"40",-1,6,-1.8,-3
"41",1,6,-1.8,-3
"42",3,6,-1.8,-3
"43",-1,1,-1.6,-3
"44",-1,3,-1.6,-3
"45",1,3,-1.6,-3
"46",-1,6,-1.6,-3
"47",1,6,-1.6,-3
"48",3,6,-1.6,-3
"49",-1,1,-1.4,-3
"50",-1,3,-1.4,-3
"51",1,3,-1.4,-3
"52",-1,6,-1.4,-3
"53",1,6,-1.4,-3
"54",3,6,-1.4,-3
"55",-1,1,-1.2,-3
"56",-1,3,-1.2,-3
"57",1,3,-1.2,-3
"58",-1,6,-1.2,-3
"59",1,6,-1.2,-3
"60",3,6,-1.2,-3
"61",-1,1,-1,-3
"62",-1,3,-1,-3
"63",1,3,-1,-3
"64",-1,6,-1,-3
"65",1,6,-1,-3
"66",3,6,-1,-3
"67",-1,1,-0.8,-3
"68",-1,3,-0.8,-3
"69",1,3,-0.8,-3
"70",-1,6,-0.8,-3
"71",1,6,-0.8,-3
"72",3,6,-0.8,-3
"73",-1,1,-0.6,-3
"74",-1,3,-0.6,-3
"75",1,3,-0.6,-3
"76",-1,6,-0.6,-3
"77",1,6,-0.6,-3
"78",3,6,-0.6,-3
"79",-1,1,-0.4,-3
"80",-1,3,-0.4,-3
"81",1,3,-0.4,-3
"82",-1,6,-0.4,-3
"83",1,6,-0.4,-3
"84",3,6,-0.4,-3
"85",-1,1,-0.2,-3
"86",-1,3,-0.2,-3
"87",1,3,-0.2,-3
"88",-1,6,-0.2,-3
"89",1,6,-0.2,-3
"90",3,6,-0.2,-3
"91",-1,1,0,-3
"92",-1,3,0,-3
"93",1,3,0,-3
"94",-1,6,0,-3
"95",1,6,0,-3
"96",3,6,0,-3
"97",-1,1,0.2,-3
"98",-1,3,0.2,-3
"99",1,3,0.2,-3
"100",-1,6,0.2,-3
"101",1,6,0.2,-3
"102",3,6,0.2,-3
"103",-1,1,0.4,-3
"104",-1,3,0.4,-3
"105",1,3,0.4,-3
"106",-1,6,0.4,-3
"107",1,6,0.4,-3
"108",3,6,0.4,-3
"109",-1,1,0.6,-3
"110",-1,3,0.6,-3
"111",1,3,0.6,-3
"112",-1,6,0.6,-3
"113",1,6,0.6,-3
"114",3,6,0.6,-3
"115",-1,1,0.8,-3
"116",-1,3,0.8,-3
"117",1,3,0.8,-3
"118",-1,6,0.8,-3
"119",1,6,0.8,-3
"120",3,6,0.8,-3
